name,visitors,pageviews,bounce_rate,time_on_page
/,49,73,72,151.0
/app/login,17,26,29,52.0
/app,10,20,,109.0
/mcp-service,10,11,50,3.0
/screenshot-analysis,10,10,100,3.0
/wissen,10,16,50,22.0
/wissen/lieferantenwechsel-im-strommarkt-rechtliche-grundlagen-und-gpke-prozesse-fuer-energiefachkraefte,9,11,75,204.0
/wissen/sperr-und-entsperrprozess-ablauf-aus-sicht-des-netzbetreibers-nb,9,13,43,392.0
/wissen/lokationsbuendel-im-deutschen-energiemarkt-struktur-funktion-und-anwendung,8,8,100,7.0
/app/chat,7,14,0,5.0
/wissen/utilmd-und-mscons-detailliertes-zusammenspiel-in-der-marktkommunikation,7,8,86,16.0
/app/admin,6,10,50,348.0
/beratung,6,6,,0.0
/karriere,6,7,100,161.0
/wissen/artikel,6,8,100,9.0
/wissen/remadv-im-energiemarkt-strukturierte-zahlungsavis-fuer-reibungslose-prozesse,6,6,100,9.0
/wissen/utilmd-der-standard-fuer-stammdatenaustausch-im-deutschen-energiemarkt,6,6,100,12.0
/wissen/utilmd-mscons-validierung-von-messwerten-im-deutschen-energiemarkt,6,7,50,13.0
/data,5,6,,5.0
/wissen/datenaustausch-in-der-marktkommunikation-lieferanten-und-netzbetreiber,5,5,75,24.0
/wissen/malo-id-ermittlung-via-webapi-im-gpke-basierten-lieferantenwechsel,5,6,60,368.0
/wissen/marktkommunikation-fuer-stromlieferanten-prozesse-standards-und-herausforderungen,5,5,50,50.0
/wissen/netzanschluss-entsperrung-beim-lieferantenwechsel-prozesse-marktrollen-und-technische-details,5,6,40,151.0
/wissen/thema/marktkommunikation,5,50,67,6.0
/app/code-lookup,4,10,0,335.0
/wissen/abrechnungsprozesse-im-deutschen-energiemarkt-zusammenspiel-von-nb-msb-und-lf,4,4,50,82.0
/wissen/bilateraler-stammdatenabgleich-fehlerbehebung-und-harmonisierung-in-der-marktkommunikation,4,4,100,10.0
/wissen/ersatz-und-grundversorgung-eog-im-strommarkt,4,4,100,6.0
/wissen/fristen-im-prozess-der-ersatz-und-grundversorgung-gpke,4,4,67,18.0
/wissen/gpke-geschaeftsprozesse-und-marktkommunikation-im-deutschen-strommarkt,4,4,100,6.0
/wissen/intelligente-messsysteme-imsys-in-der-marktkommunikation-prozesse-sicherheit-und-rollout,4,5,67,49.0
/app/register,3,4,,48.0
/whitepaper/mabis-hub,3,3,,120.0
/whitepaper/prozessatlas-m2c,3,3,,
/whitepaper/vergessene_liberalisierung,3,3,0,64.0
/wissen/14a-enwg-netzorientierte-steuerung-von-verbrauchseinrichtungen-in-der-marktkommunikation,3,3,50,8.0
/wissen/abrechnungsprozesse-im-deutschen-energiemarkt-edifact-basierter-datenaustausch,3,3,67,148.0
/wissen/artikel/imsys-rollout-prozess,3,4,0,182.0
/wissen/artikel/makomabishub,3,3,33,522.0
/wissen/artikel/prozessatlas-meter-2-cash-infografik,3,3,33,19.0
/wissen/messwerte-im-energiemarkt-verantwortlichkeiten-prozesse-und-rechtliche-grundlagen,3,3,100,12.0
/wissen/partin-nachricht-stammdatenmanagement-im-deutschen-energiemarkt,3,3,100,8.0
/wissen/sperrung-und-entsperrung-von-netzanschluessen-verantwortlichkeiten-von-nb-und-msb,3,3,50,584.0
/wissen/thema/wim,3,3,,430.0
/app/faq,2,3,,5.0
/app/profile,2,3,,45.0
/app/timelines,2,2,,8.0
/app/workspace,2,14,0,1239.0
/chat/20bab7c3-7ce4-44ad-89c2-27bcc86a65df,2,3,,212.0
/chat/2a8fc6cb-acf5-443f-8bb1-8edb913e7223,2,3,,524.0
/glossary/sekundaertechnik,2,2,100,
